Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
ban-stupid-people-not-dogs,"Ban Stupid people, not dogs.","<strong>Love your lovely dogs?  Get this SHIRT NOW! </strong><br><span style=""color: #0b5394;""><strong><em>** Safe &amp; Secure Checkout</em></strong></span><br><span style=""color: #0b5394;""><strong><em>** VERY High Quality Tees</em></strong></span><br><b>Limited Edition</b><span> and </span><b>Only Available for few days</b><span>.</span><br><strong>Buy together with Family/Friends and SAVE! All Shirts are Free Shipping</strong><br><strong>Sale may end early so get yours now!</strong>",Sunfrog,Shirt,pets,true,Size,S,Color,Navy Blue,,,'16037,100000,,1,deny,manual,23.00,30.00,true,false,"",https://cdn.shopify.com/s/files/1/1547/2795/products/Navy_Blue.jpg?v=1477211843,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1547/2795/products/Navy_Blue.jpg?v=1477211843,kg,
ban-stupid-people-not-dogs,,,,,,,,S,,White,,,'16038,100000,,1,deny,manual,23.00,30.00,true,false,"",https://cdn.shopify.com/s/files/1/1547/2795/products/White.jpg?v=1477211854,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1547/2795/products/White.jpg?v=1477211854,kg,
ban-stupid-people-not-dogs,,,,,,,,M,,Navy Blue,,,'16039,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,M,,White,,,'16040,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,L,,Navy Blue,,,'16041,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,L,,White,,,'16042,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,XL,,Navy Blue,,,'16043,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,XL,,White,,,'16044,100000,,1,deny,manual,23.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,2X,,Navy Blue,,,'16045,100000,,1,deny,manual,26.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,2X,,White,,,'16046,100000,,1,deny,manual,26.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,3X,,Navy Blue,,,'16047,100000,,1,deny,manual,26.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
ban-stupid-people-not-dogs,,,,,,,,3X,,White,,,'16048,100000,,1,deny,manual,26.00,30.00,true,false,"",,,,,,,,,,,,,,,,,,,,kg,
